FIPS,Pred0,Pred1,Pred2,Pred3,80_0,80_1,80_2,80_3,Actual
21099,346.68203889888554,261.77,284.39246,283.0,Jan-07-2022,Oct-14-2021,Nov-06-2021,Nov-05-2021,
21101,355.2571893317897,252.88,274.49927,302.0,Jan-03-2022,Sep-22-2021,Oct-14-2021,Nov-11-2021,
21103,342.6432204874793,315.25,250.01936,325.0,Dec-24-2021,Nov-27-2021,Sep-23-2021,Dec-07-2021,
21105,325.8372649892144,288.5,261.07144,292.0,Dec-07-2021,Oct-31-2021,Oct-04-2021,Nov-04-2021,
21107,332.2215873097785,280.59,239.68048,325.0,Dec-17-2021,Oct-26-2021,Sep-15-2021,Dec-10-2021,
21109,345.7264898240635,266.34,276.84476,330.0,Dec-25-2021,Oct-07-2021,Oct-17-2021,Dec-10-2021,
21111,350.3827804660234,268.36,288.2956,319.0,Jan-07-2022,Oct-17-2021,Nov-06-2021,Dec-07-2021,
21113,326.1378497531375,289.61,245.60654,325.0,Dec-17-2021,Nov-10-2021,Sep-27-2021,Dec-16-2021,
21115,345.7011774290687,253.59,272.27036,282.0,Dec-26-2021,Sep-25-2021,Oct-14-2021,Oct-24-2021,
21117,331.89404464640086,261.07,264.56702,301.0,Dec-16-2021,Oct-07-2021,Oct-10-2021,Nov-16-2021,
21119,331.1808548049536,256.46,252.48299,300.0,Dec-10-2021,Sep-26-2021,Sep-22-2021,Nov-09-2021,
21121,379.20065972179094,262.22,265.81543,316.0,Jan-27-2022,Oct-02-2021,Oct-05-2021,Nov-25-2021,
21123,367.6839539976783,267.94,309.6914,314.0,Jan-14-2022,Oct-06-2021,Nov-17-2021,Nov-22-2021,
21125,350.5731903995128,311.09,246.80441,325.0,Dec-30-2021,Nov-21-2021,Sep-17-2021,Dec-05-2021,
21127,349.7158758555538,300.14,253.57585,297.0,Dec-23-2021,Nov-04-2021,Sep-18-2021,Nov-01-2021,
21129,346.20544165754865,256.3,272.01877,297.0,Dec-23-2021,Sep-24-2021,Oct-10-2021,Nov-04-2021,
21131,352.1638910909019,262.56,279.32343,308.0,Jan-01-2022,Oct-03-2021,Oct-20-2021,Nov-18-2021,
21133,340.3402578456087,261.65,287.0143,289.0,Dec-25-2021,Oct-07-2021,Nov-02-2021,Nov-04-2021,
21135,366.4633876121689,271.44,304.84192,272.0,Jan-15-2022,Oct-12-2021,Nov-14-2021,Oct-13-2021,
